date	temp	co2
1958.0417	0.39	0.1462
1958.125	0.24	0.1529
1958.2083	0.1	0.1471
1958.2917	0.01	0.1485
1958.375	0.08	0.1498
1958.4583	-0.05	0.1594
1958.5417	0.06	0.1591
1958.625	-0.06	0.1561
1958.7083	-0.02	0.1531
1958.7917	0.04	0.1561
1958.875	0.03	0.157
1958.9583	0.01	0.1588
1959.0417	0.06	0.1562
1959.125	0.09	0.1556
1959.2083	0.2	0.155
1959.2917	0.17	0.1592
1959.375	0.06	0.1566
1959.4583	0.02	0.1581
1959.5417	0.06	0.1655
1959.625	-0.01	0.1619
1959.7083	-0.06	0.1678
1959.7917	-0.09	0.1652
1959.875	-0.09	0.1651
1959.9583	-0.03	0.1647
1960.0417	-0.01	0.1649
1960.125	0.14	0.1686
1960.2083	-0.36	0.1724
1960.2917	-0.16	0.1736
1960.375	-0.07	0.173
1960.4583	0.01	0.1692
1960.5417	-0.02	0.1687
1960.625	0	0.1676
1960.7083	0.05	0.1698
1960.7917	0.07	0.1713
1960.875	-0.11	0.1703
1960.9583	0.18	0.1728
1961.0417	0.07	0.1747
1961.125	0.18	0.1727
1961.2083	0.09	0.177
1961.2917	0.15	0.1748
1961.375	0.12	0.177
1961.4583	0.12	0.178
1961.5417	-0.03	0.1749
1961.625	0.02	0.1835
1961.7083	0.05	0.1813
1961.7917	0	0.1794
1961.875	0.03	0.1806
1961.9583	-0.15	0.1811
1962.0417	0.08	0.1857
1962.125	0.14	0.1845
1962.2083	0.12	0.182
1962.2917	0.05	0.1827
1962.375	-0.06	0.1867
1962.4583	0.06	0.1848
1962.5417	-0.02	0.1903
1962.625	-0.02	0.1833
1962.7083	0	0.1862
1962.7917	-0.02	0.1861
1962.875	0.07	0.1891
1962.9583	-0.01	0.1868
1963.0417	-0.03	0.1869
1963.125	0.2	0.1909
1963.2083	-0.13	0.1939
1963.2917	-0.05	0.1916
1963.375	-0.09	0.1877
1963.4583	0.03	0.1883
1963.5417	0.08	0.1906
1963.625	0.25	0.19
1963.7083	0.2	0.191
1963.7917	0.16	0.1925
1963.875	0.16	0.1967
1963.9583	0	0.1961
1964.0417	-0.06	0.1955
1964.125	-0.12	0.1948
1964.2083	-0.22	0.1942
1964.2917	-0.3	0.1969
1964.375	-0.25	0.1958
1964.4583	-0.07	0.1981
1964.5417	-0.07	0.1956
1964.625	-0.21	0.1978
1964.7083	-0.28	0.1972
1964.7917	-0.3	0.1959
1964.875	-0.21	0.1948
1964.9583	-0.3	0.1997
1965.0417	-0.09	0.1965
1965.125	-0.17	0.198
1965.2083	-0.11	0.1936
1965.2917	-0.19	0.1965
1965.375	-0.14	0.2051
1965.4583	-0.08	0.1993
1965.5417	-0.12	0.2068
