date	co2	temp
1958	0.1571	0.27
1959	0.1562	0.23
1960	0.1643	0.18
1961	0.1693	0.25
1962	0.1794	0.23
1963	0.1874	0.26
1964	0.1957	0
1965	0.1944	0.1
1966	0.2062	0.15
1967	0.2207	0.18
1968	0.2257	0.13
1969	0.24	0.27
1970	0.2503	0.22
1971	0.2617	0.11
1972	0.2677	0.21
1973	0.2854	0.35
1974	0.2935	0.12
1975	0.3073	0.18
1976	0.3159	0.08
1977	0.3266	0.38
1978	0.3495	0.27
1979	0.3614	0.37
1980	0.379	0.47
1981	0.3929	0.53
1982	0.4096	0.33
1983	0.4168	0.5
1984	0.441	0.35
1985	0.4521	0.31
1986	0.4656	0.39
1987	0.4852	0.53
1988	0.5039	0.6
1989	0.5291	0.48
1990	0.538	0.64
1991	0.5484	0.62
1992	0.5625	0.43
1993	0.57	0.44
1994	0.5824	0.52
1995	0.5992	0.65
1996	0.6207	0.55
1997	0.6309	0.68
1998	0.6526	0.83
1999	0.6818	0.62
2000	0.6929	0.62
2001	0.7059	0.74
2002	0.7253	0.83
2003	0.7488	0.82
2004	0.77	0.74
2005	0.7846	0.89
2006	0.8138	0.83
2007	0.8289	0.86
2008	0.8552	0.74
2009	0.8694	0.84
2010	0.8871	0.91
2011	0.9133	0.8
2012	0.9312	0.83
2013	0.9555	0.86
2014	0.9785	0.95
2015	0.9998	1.07
2016	1.0252	1.18
2017	1.0252	1.23
