date	value
1958	0.27
1959	0.23
1960	0.18
1961	0.25
1962	0.23
1963	0.26
1964	0
1965	0.1
1966	0.15
1967	0.18
1968	0.13
1969	0.27
1970	0.22
1971	0.11
1972	0.21
1973	0.35
1974	0.12
1975	0.18
1976	0.08
1977	0.38
1978	0.27
1979	0.37
1980	0.47
1981	0.53
1982	0.33
1983	0.5
1984	0.35
1985	0.31
1986	0.39
1987	0.53
1988	0.6
1989	0.48
1990	0.64
1991	0.62
1992	0.43
1993	0.44
1994	0.52
1995	0.65
1996	0.55
1997	0.68
1998	0.83
1999	0.62
2000	0.62
2001	0.74
2002	0.83
2003	0.82
2004	0.74
2005	0.89
2006	0.83
2007	0.86
2008	0.74
2009	0.84
2010	0.91
2011	0.8
2012	0.83
2013	0.86
2014	0.95
2015	1.07
2016	1.18
