date	value
1880.0417	-0.29
1880.125	-0.2
1880.2083	-0.18
1880.2917	-0.27
1880.375	-0.14
1880.4583	-0.28
1880.5417	-0.23
1880.625	-0.07
1880.7083	-0.16
1880.7917	-0.16
1880.875	-0.18
1880.9583	-0.21
1881.0417	-0.1
1881.125	-0.14
1881.2083	0.01
1881.2917	-0.03
1881.375	-0.04
1881.4583	-0.28
1881.5417	-0.06
1881.625	-0.02
1881.7083	-0.08
1881.7917	-0.18
1881.875	-0.25
1881.9583	-0.15
1882.0417	0.11
1882.125	0.1
1882.2083	0.03
1882.2917	-0.19
1882.375	-0.17
1882.4583	-0.24
1882.5417	-0.1
1882.625	0.04
1882.7083	0
1882.7917	-0.22
1882.875	-0.2
1882.9583	-0.25
1883.0417	-0.33
1883.125	-0.41
1883.2083	-0.17
1883.2917	-0.23
1883.375	-0.25
1883.4583	-0.11
1883.5417	-0.08
1883.625	-0.12
1883.7083	-0.17
1883.7917	-0.11
1883.875	-0.19
1883.9583	-0.18
1884.0417	-0.18
1884.125	-0.1
1884.2083	-0.33
1884.2917	-0.35
1884.375	-0.3
1884.4583	-0.37
1884.5417	-0.33
1884.625	-0.24
1884.7083	-0.22
1884.7917	-0.21
1884.875	-0.29
1884.9583	-0.28
1885.0417	-0.64
1885.125	-0.28
1885.2083	-0.22
1885.2917	-0.43
1885.375	-0.4
1885.4583	-0.49
1885.5417	-0.28
1885.625	-0.26
1885.7083	-0.18
1885.7917	-0.18
1885.875	-0.21
1885.9583	-0.05
1886.0417	-0.41
1886.125	-0.44
1886.2083	-0.4
1886.2917	-0.28
1886.375	-0.26
1886.4583	-0.38
1886.5417	-0.15
1886.625	-0.3
1886.7083	-0.18
1886.7917	-0.24
1886.875	-0.25
1886.9583	-0.24
1887.0417	-0.65
1887.125	-0.47
1887.2083	-0.3
1887.2917	-0.36
1887.375	-0.32
1887.4583	-0.19
1887.5417	-0.18
1887.625	-0.26
1887.7083	-0.19
1887.7917	-0.31
1887.875	-0.25
1887.9583	-0.37
1888.0417	-0.42
1888.125	-0.41
1888.2083	-0.46
1888.2917	-0.27
1888.375	-0.22
1888.4583	-0.2
1888.5417	-0.09
1888.625	-0.1
1888.7083	-0.07
1888.7917	0.02
1888.875	0
1888.9583	-0.12
1889.0417	-0.19
1889.125	0.15
1889.2083	0.05
1889.2917	0.05
1889.375	-0.02
1889.4583	-0.11
1889.5417	-0.04
1889.625	-0.17
1889.7083	-0.18
1889.7917	-0.21
1889.875	-0.29
1889.9583	-0.3
1890.0417	-0.47
1890.125	-0.48
1890.2083	-0.4
1890.2917	-0.37
1890.375	-0.47
1890.4583	-0.27
1890.5417	-0.29
1890.625	-0.35
1890.7083	-0.35
1890.7917	-0.22
1890.875	-0.36
1890.9583	-0.29
1891.0417	-0.45
1891.125	-0.49
1891.2083	-0.14
1891.2917	-0.25
1891.375	-0.17
1891.4583	-0.21
1891.5417	-0.21
1891.625	-0.2
1891.7083	-0.13
1891.7917	-0.23
1891.875	-0.36
1891.9583	-0.01
1892.0417	-0.25
1892.125	-0.14
1892.2083	-0.35
1892.2917	-0.34
1892.375	-0.24
1892.4583	-0.19
1892.5417	-0.27
1892.625	-0.19
1892.7083	-0.24
1892.7917	-0.15
1892.875	-0.49
1892.9583	-0.28
1893.0417	-0.67
1893.125	-0.5
1893.2083	-0.23
1893.2917	-0.32
1893.375	-0.34
1893.4583	-0.23
1893.5417	-0.13
1893.625	-0.23
1893.7083	-0.17
1893.7917	-0.15
1893.875	-0.16
1893.9583	-0.37
1894.0417	-0.54
1894.125	-0.31
1894.2083	-0.2
1894.2917	-0.41
1894.375	-0.29
1894.4583	-0.43
1894.5417	-0.31
1894.625	-0.27
1894.7083	-0.22
1894.7917	-0.16
1894.875	-0.24
1894.9583	-0.21
1895.0417	-0.43
1895.125	-0.42
1895.2083	-0.28
1895.2917	-0.22
1895.375	-0.22
1895.4583	-0.24
1895.5417	-0.16
1895.625	-0.15
1895.7083	-0.01
1895.7917	-0.09
1895.875	-0.15
1895.9583	-0.11
1896.0417	-0.22
1896.125	-0.14
1896.2083	-0.29
1896.2917	-0.32
1896.375	-0.19
1896.4583	-0.13
1896.5417	-0.05
1896.625	-0.08
1896.7083	-0.04
1896.7917	0.05
1896.875	-0.15
1896.9583	-0.11
1897.0417	-0.23
1897.125	-0.18
1897.2083	-0.11
1897.2917	0
1897.375	0
1897.4583	-0.12
1897.5417	-0.04
1897.625	-0.03
1897.7083	-0.04
1897.7917	-0.09
1897.875	-0.16
1897.9583	-0.24
1898.0417	-0.06
1898.125	-0.32
1898.2083	-0.55
1898.2917	-0.33
1898.375	-0.36
1898.4583	-0.21
1898.5417	-0.22
1898.625	-0.23
1898.7083	-0.19
1898.7917	-0.32
1898.875	-0.36
1898.9583	-0.21
1899.0417	-0.18
1899.125	-0.4
1899.2083	-0.34
1899.2917	-0.2
1899.375	-0.2
1899.4583	-0.25
1899.5417	-0.13
1899.625	-0.04
1899.7083	-0.01
1899.7917	0
1899.875	0.13
1899.9583	-0.26
1900.0417	-0.39
1900.125	-0.07
1900.2083	0.02
1900.2917	-0.14
1900.375	-0.05
1900.4583	-0.14
1900.5417	-0.08
1900.625	-0.03
1900.7083	0.02
1900.7917	0.09
1900.875	-0.12
1900.9583	-0.13
1901.0417	-0.27
1901.125	-0.05
1901.2083	0.06
1901.2917	-0.05
1901.375	-0.16
1901.4583	-0.09
