date	value
1904.9583	-0.29
1905.0417	-0.37
1905.125	-0.58
1905.2083	-0.24
1905.2917	-0.37
1905.375	-0.33
1905.4583	-0.31
1905.5417	-0.24
1905.625	-0.19
1905.7083	-0.14
1905.7917	-0.23
1905.875	-0.08
1905.9583	-0.21
1906.0417	-0.3
1906.125	-0.32
1906.2083	-0.15
1906.2917	-0.03
1906.375	-0.21
1906.4583	-0.21
1906.5417	-0.25
1906.625	-0.18
1906.7083	-0.25
1906.7917	-0.2
1906.875	-0.38
1906.9583	-0.17
1907.0417	-0.43
1907.125	-0.51
1907.2083	-0.23
1907.2917	-0.39
1907.375	-0.46
1907.4583	-0.43
1907.5417	-0.35
1907.625	-0.36
1907.7083	-0.32
1907.7917	-0.24
1907.875	-0.51
1907.9583	-0.5
1908.0417	-0.45
1908.125	-0.35
1908.2083	-0.57
1908.2917	-0.46
1908.375	-0.4
1908.4583	-0.39
1908.5417	-0.35
1908.625	-0.45
1908.7083	-0.33
1908.7917	-0.43
1908.875	-0.5
1908.9583	-0.49
1909.0417	-0.7
1909.125	-0.46
1909.2083	-0.52
1909.2917	-0.58
1909.375	-0.53
1909.4583	-0.51
1909.5417	-0.42
1909.625	-0.29
1909.7083	-0.37
1909.7917	-0.38
1909.875	-0.31
1909.9583	-0.54
1910.0417	-0.43
1910.125	-0.42
1910.2083	-0.47
1910.2917	-0.38
1910.375	-0.34
1910.4583	-0.36
1910.5417	-0.31
1910.625	-0.34
1910.7083	-0.36
1910.7917	-0.38
1910.875	-0.55
1910.9583	-0.68
1911.0417	-0.62
1911.125	-0.59
1911.2083	-0.61
1911.2917	-0.54
1911.375	-0.5
1911.4583	-0.45
1911.5417	-0.39
1911.625	-0.42
1911.7083	-0.37
1911.7917	-0.25
1911.875	-0.18
1911.9583	-0.24
1912.0417	-0.26
1912.125	-0.13
1912.2083	-0.37
1912.2917	-0.19
1912.375	-0.19
1912.4583	-0.25
1912.5417	-0.41
1912.625	-0.51
1912.7083	-0.47
1912.7917	-0.55
1912.875	-0.37
1912.9583	-0.42
1913.0417	-0.42
1913.125	-0.43
1913.2083	-0.43
1913.2917	-0.36
1913.375	-0.45
1913.4583	-0.46
1913.5417	-0.34
1913.625	-0.34
1913.7083	-0.33
1913.7917	-0.34
1913.875	-0.17
1913.9583	-0.03
1914.0417	0.02
1914.125	-0.12
1914.2083	-0.22
1914.2917	-0.27
1914.375	-0.2
1914.4583	-0.23
1914.5417	-0.24
1914.625	-0.14
1914.7083	-0.13
1914.7917	-0.05
1914.875	-0.2
1914.9583	-0.09
1915.0417	-0.18
1915.125	0
1915.2083	-0.1
1915.2917	0.08
1915.375	-0.01
1915.4583	-0.15
1915.5417	-0.03
1915.625	-0.15
1915.7083	-0.12
1915.7917	-0.22
1915.875	-0.12
1915.9583	-0.24
1916.0417	-0.17
1916.125	-0.21
1916.2083	-0.31
1916.2917	-0.24
1916.375	-0.26
1916.4583	-0.43
1916.5417	-0.34
1916.625	-0.26
1916.7083	-0.28
1916.7917	-0.27
1916.875	-0.4
1916.9583	-0.77
1917.0417	-0.46
1917.125	-0.53
1917.2083	-0.47
1917.2917	-0.37
1917.375	-0.48
1917.4583	-0.4
1917.5417	-0.22
1917.625	-0.25
1917.7083	-0.17
1917.7917	-0.35
1917.875	-0.26
1917.9583	-0.71
1918.0417	-0.42
1918.125	-0.3
1918.2083	-0.18
